671304.960	3529501.830	5.390	-0.07352
671305.040	3529501.720	5.380	0.00000
671305.130	3529501.610	5.380	-0.07809
671305.210	3529501.510	5.370	-0.07036
671305.300	3529501.400	5.360	0.00000
671305.380	3529501.290	5.360	-0.07809
671305.460	3529501.190	5.350	-0.07352
671305.540	3529501.080	5.340	-0.05551
671305.620	3529500.970	5.330	-0.05572
671305.700	3529500.870	5.330	-0.06083
671305.770	3529500.760	5.320	-0.05563
671305.850	3529500.650	5.310	-0.05605
671305.920	3529500.540	5.300	-0.06137
671306.000	3529500.430	5.300	-0.06128
671306.070	3529500.320	5.290	-0.06170
671306.140	3529500.220	5.280	-0.06212
671306.210	3529500.110	5.270	-0.06212
671306.280	3529500.000	5.260	-0.06232
671306.350	3529499.890	5.260	-0.06274
671306.420	3529499.780	5.250	-0.05763
671306.480	3529499.670	5.240	-0.06295
671306.550	3529499.560	5.230	-0.06335
671306.610	3529499.450	5.220	-0.05789
671306.670	3529499.340	5.210	-0.05830
671306.740	3529499.230	5.210	-0.05318
671306.800	3529499.120	5.200	-0.05318
671306.860	3529499.010	5.190	-0.05339
671306.920	3529498.890	5.190	-0.04807
671306.980	3529498.780	5.180	-0.04296
671307.030	3529498.670	5.170	-0.04277
671307.090	3529498.560	5.170	-0.03745
671307.140	3529498.450	5.160	-0.04277
671307.200	3529498.330	5.160	-0.03745
671307.250	3529498.220	5.160	-0.03709
671307.310	3529498.110	5.150	-0.03709
671307.360	3529498.000	5.150	-0.03177
671307.420	3529497.890	5.150	-0.03122
671307.470	3529497.770	5.140	-0.03122
671307.520	3529497.650	5.140	-0.03036
671307.580	3529497.540	5.130	-0.03036
671307.630	3529497.420	5.130	-0.03515
671307.690	3529497.300	5.120	-0.02983
671307.740	3529497.170	5.120	-0.02983
671307.800	3529497.050	5.120	-0.03449
671307.860	3529496.930	5.110	-0.02936
671307.910	3529496.800	5.110	-0.03373
671307.970	3529496.670	5.100	-0.02841
671308.030	3529496.540	5.100	-0.03254
671308.080	3529496.410	5.090	-0.02757
671308.140	3529496.280	5.090	-0.03170
671308.190	3529496.140	5.090	-0.03170
671308.250	3529496.010	5.080	-0.03086
671308.300	3529495.870	5.080	-0.03086
671308.360	3529495.730	5.070	-0.03033
671308.410	3529495.590	5.070	-0.03033
671308.470	3529495.440	5.060	-0.02554
671308.520	3529495.300	5.060	-0.02944
671308.580	3529495.150	5.050	-0.02944
671308.630	3529495.000	5.050	-0.02869
671308.690	3529494.850	5.040	-0.02869
671308.740	3529494.700	5.040	-0.02431
671308.800	3529494.550	5.030	-0.02807
671308.860	3529494.390	5.030	-0.02394
671308.910	3529494.230	5.030	-0.02771
671308.970	3529494.070	5.020	-0.02358
671309.020	3529493.910	5.020	-0.02358
671309.080	3529493.750	5.010	-0.01945
671309.130	3529493.590	5.010	-0.02297
671309.190	3529493.420	5.010	-0.01884
671309.240	3529493.250	5.000	-0.01884
671309.300	3529493.080	5.000	-0.02241
671309.350	3529492.910	4.990	-0.01851
671309.400	3529492.730	4.990	-0.01851
671309.460	3529492.560	4.990	-0.01461
671309.510	3529492.380	4.990	-0.01795
671309.570	3529492.200	4.980	-0.01795
671309.620	3529492.020	4.980	-0.01419
671309.680	3529491.830	4.980	-0.01419
671309.730	3529491.650	4.970	-0.01043
671309.790	3529491.460	4.970	-0.01366
671309.840	3529491.270	4.970	-0.01366
671309.890	3529491.080	4.970	-0.01366
671309.950	3529490.890	4.960	-0.01015
671310.000	3529490.700	4.960	-0.01015
671310.050	3529490.500	4.960	-0.01015
671310.110	3529490.310	4.960	-0.00977
671310.160	3529490.110	4.960	-0.00977
671310.210	3529489.910	4.950	-0.00977
671310.270	3529489.710	4.950	-0.00977
671310.320	3529489.500	4.950	-0.00643
671310.380	3529489.300	4.950	-0.00643
671310.430	3529489.090	4.950	-0.00938
671310.480	3529488.880	4.950	-0.00938
671310.540	3529488.680	4.940	-0.00938
671310.590	3529488.460	4.940	-0.00615
671310.650	3529488.250	4.940	-0.00615
671310.700	3529488.040	4.940	-0.00615
671310.750	3529487.820	4.940	-0.00898
671310.810	3529487.610	4.940	-0.00898
671310.860	3529487.390	4.930	-0.00898
671310.910	3529487.170	4.930	-0.00579
671310.970	3529486.950	4.930	-0.00579
671311.020	3529486.730	4.930	-0.00579
671311.070	3529486.500	4.930	-0.00579
671311.130	3529486.280	4.930	-0.00862
671311.180	3529486.050	4.920	-0.00862
671311.230	3529485.820	4.920	-0.00566
671311.290	3529485.590	4.920	-0.00566
671311.340	3529485.360	4.920	-0.00566
671311.390	3529485.130	4.920	-0.00566
671311.440	3529484.900	4.920	-0.00566
671311.500	3529484.660	4.920	-0.00838
671311.550	3529484.430	4.910	-0.00555
671311.600	3529484.190	4.910	-0.00555
671311.650	3529483.950	4.910	-0.00555
671311.710	3529483.720	4.910	-0.00555
671311.760	3529483.480	4.910	-0.00555
671311.810	3529483.240	4.910	-0.00555
671311.860	3529483.000	4.910	-0.00555
671311.910	3529482.760	4.900	-0.00272
671311.960	3529482.510	4.900	-0.00544
671312.010	3529482.270	4.900	-0.00544
671312.060	3529482.030	4.900	-0.00544
671312.120	3529481.790	4.900	-0.00544
671312.170	3529481.550	4.900	-0.00544
671312.220	3529481.300	4.900	-0.00544
671312.270	3529481.060	4.900	-0.00272
671312.320	3529480.810	4.900	-0.00272
671312.370	3529480.570	4.890	-0.00272
671312.420	3529480.320	4.890	-0.00272
671312.470	3529480.080	4.890	-0.00533
671312.520	3529479.830	4.890	-0.00533
671312.570	3529479.580	4.890	-0.00533
